imdb.id,title.mixed,sample.year.first,fest.first,oscar_nominated
tt1947964,anina,2013,BERLINALE,0
tt2154028,cheong,2013,BERLINALE,0
tt2017038,all is lost,2013,CANNES,1
tt1906422,marussia,2013,BERLINALE,0
tt2756822,matilde,2013,BERLINALE,0
tt2741624,pluto,2013,BERLINALE,0
tt2719602,rabbitland,2013,BERLINALE,0
tt2767736,"rosa, anna's lil' sis",2013,BERLINALE,0
tt2857942,tang wong,2013,BERLINALE,0
tt2520904,chiralia,2013,BERLINALE,0
tt2623152,metamorphosen,2013,BERLINALE,0
tt0025078,einmal eine große dame sein,2013,BERLINALE,0
tt0025158,gado bravo,2013,BERLINALE,0
tt2402085,all ls by my side,2013,TIFF,0
tt0027683,glueckskinder,2013,BERLINALE,0
tt0027853,komedie om geld,2013,BERLINALE,0
tt0035753,le corbeau,2013,BERLINALE,0
tt0027688,le golem,2013,BERLINALE,0
tt0030457,mollenard,2013,BERLINALE,0
tt0024736,viktor und viktoria,2013,BERLINALE,0
tt0286978,"sobibor, 14 octobre 1943, 16 heures",2013,BERLINALE,0
tt0111510,tsahal,2013,BERLINALE,0
tt2388370,haleema,2013,BERLINALE,0
tt2042583,la jaula de oro,2013,CANNES,0
tt1568799,all the wrong reasons,2013,TIFF,0
tt2357461,miele,2013,CANNES,0
tt2888894,asunción,2013,CANNES,0
tt2894706,danse macabre,2013,CANNES,0
tt2894656,duet,2013,CANNES,0
tt2707114,mont blanc,2013,CANNES,0
tt2894632,ophelia,2013,CANNES,0
tt2641648,opium,2013,CANNES,0
tt0040497,jour de fête,2013,CANNES,0
tt3118724,el adios largos,2013,TIFF,0
tt3120978,main hall,2013,TIFF,0
tt2325517,almost human,2013,TIFF,0
tt3118618,bann,2013,TIFF,0
tt3118730,gowanus canal,2013,TIFF,0
tt2602506,la ultima pelicula,2013,TIFF,0
tt3094482,un conte de michel montaigne,2013,TIFF,0
tt3123116,redemption,2013,TIFF,0
tt3025958,the disquiet,2013,TIFF,0
tt1240899,amazonia,2013,TIFF,0
tt2436046,antboy,2013,TIFF,0
tt1487931,khumba,2013,TIFF,0
tt2948394,the sparkling river,2013,TIFF,0
tt2660068,alone,2013,IDFA,0
tt2962414,pilgrims,2013,TIFF,0
tt2773518,der untermensch,2013,TIFF,0
tt2935276,nous avions,2013,TIFF,0
tt3106972,impromptu,2013,TIFF,0
tt3531514,une danse des bouffons (or a jester's dance),2013,TIFF,0
tt2971774,grosse fatigue,2013,TIFF,0
tt2112152,ralph steadman for no good reason,2013,TIFF,0
tt2974248,sapi,2013,TIFF,0
tt2873700,32 boulevard de magenta,2013,CLERMONT-FERRAND,0
tt3215346,alphabet,2013,IDFA,0
tt2689992,avant que de tout perdre,2013,CLERMONT-FERRAND,1
tt2616774,beausejour,2013,CLERMONT-FERRAND,0
tt2765122,le bouillon,2013,CLERMONT-FERRAND,0
tt2850806,braise,2013,CLERMONT-FERRAND,0
tt2537008,"c'est pas de chance, quoi!",2013,CLERMONT-FERRAND,0
tt2917262,cadavre exquis,2013,CLERMONT-FERRAND,0
tt2368673,ce chemin devant moi,2013,CLERMONT-FERRAND,0
tt2271243,ce n'est pas un film de cow-boys,2013,CLERMONT-FERRAND,0
tt2849404,la chronophotographie,2013,CLERMONT-FERRAND,0
tt2917288,comme des lapins,2013,CLERMONT-FERRAND,0
tt1833841,american arab,2013,IDFA,0
tt2849002,cornée,2013,CLERMONT-FERRAND,0
tt2873562,deux îles,2013,CLERMONT-FERRAND,0
tt2767934,l' etoile du matin,2013,CLERMONT-FERRAND,0
tt2625506,la femme qui flottait,2013,CLERMONT-FERRAND,0
tt2585372,feux,2013,CLERMONT-FERRAND,0
tt2235834,"fleuve rouge, song hong",2013,CLERMONT-FERRAND,0
tt2899466,guillaume le désespéré,2013,CLERMONT-FERRAND,0
tt2849410,helmut,2013,CLERMONT-FERRAND,0
tt2873716,hotel cervantes,2013,CLERMONT-FERRAND,0
tt2278392,american dreams in china,2013,TIFF,0
tt2917372,j'ai toujours révé d'être un robot,2013,CLERMONT-FERRAND,0
tt2873542,j'aimerais que la terre s'arrête pour descendre,2013,CLERMONT-FERRAND,0
tt2169662,je suis une ville endormie,2013,CLERMONT-FERRAND,0
tt2713734,kingston avenue,2013,CLERMONT-FERRAND,0
tt2172688,königsberg,2013,CLERMONT-FERRAND,0
tt2728314,les lézards,2013,CLERMONT-FERRAND,0
tt2059240,lisboa orchestra,2013,CLERMONT-FERRAND,0
tt2790230,lisières,2013,CLERMONT-FERRAND,0
tt2629310,le livre des morts,2013,CLERMONT-FERRAND,0
tt2917272,la maison d'olga,2013,CLERMONT-FERRAND,0
tt1954315,borgman,2013,CANNES,0
tt2621714,american vagabond,2013,IDFA,0
tt2899486,la maison vide,2013,CLERMONT-FERRAND,0
tt2755090,musique de chambre,2013,CLERMONT-FERRAND,0
tt2382230,nieuwpoort en juin,2013,CLERMONT-FERRAND,0
tt2306671,"nos jours, absolument, doivent être illuminés",2013,CLERMONT-FERRAND,0
tt2267174,nostalgic z,2013,CLERMONT-FERRAND,0
tt2899476,patricia,2013,CLERMONT-FERRAND,0
tt2282822,peau de chien,2013,CLERMONT-FERRAND,0
tt2917358,pieds verts,2013,CLERMONT-FERRAND,0
tt2693516,les profondeurs,2013,CLERMONT-FERRAND,0
tt2477188,la ravaudeuse,2013,CLERMONT-FERRAND,0
tt2971902,an extraordinary person,2013,TIFF,0
tt2229098,rodri,2013,CLERMONT-FERRAND,0
tt2477002,le sens de l'orientation,2013,CLERMONT-FERRAND,0
tt2873722,les sept péchés capitaux,2013,CLERMONT-FERRAND,0
tt2279428,son indochine,2013,CLERMONT-FERRAND,0
tt2579932,souffre!,2013,CLERMONT-FERRAND,0
tt2789172,swing absolu,2013,CLERMONT-FERRAND,0
tt2400479,tram,2013,CLERMONT-FERRAND,0
tt2899482,vie et mort de l'illustre grigori efimovitch raspoutine,2013,CLERMONT-FERRAND,0
tt2382000,l' amour bègue,2013,CLERMONT-FERRAND,0
tt2769836,ana,2013,CLERMONT-FERRAND,0
tt2322367,anacos,2013,CLERMONT-FERRAND,0
tt2304777,los asesinos,2013,CLERMONT-FERRAND,0
tt2177370,ástarsaga,2013,CLERMONT-FERRAND,0
tt2705474,betoniera,2013,CLERMONT-FERRAND,0
tt2160092,bydlo,2012,TIFF,0
