film.id,unique.id,sample.year,fest,fest.sect
f1067,124,2013,BERLINALE,Panorama
idfnew1624,124,2017,IDFA,Shifting Perspectives: The Arab World
f5046,1240,2013,FRAMELINE,World Cinema
f1093,1241,2013,BERLINALE,Panorama
f6247,1242,2013,IDFA,IDFA Competition for Student Documentary
f1142,1243,2013,BERLINALE,Forum
f6257,1244,2013,IDFA,IDFA Best of Fests
f6258,1245,2013,IDFA,IDFA Panorama
f6259,1246,2013,IDFA,IDFA Focus: Stand-Up Documentary
f2095,1247,2013,CANNES,Cannes Classics - Restored Prints
f6267,1248,2013,IDFA,IDFA Panorama
f3204,1249,2013,TIFF,TIFF Docs
f17323,1249,2014,BERLINALE,Berlinale Special
idfnew1273,1249,2015,IDFA,Retrospective: Errol Morris
f6020,125,2013,IDFA,IDFA Paradocs: Barbara Visser The Making of Movies
f6270,1250,2013,IDFA,IDFA Panorama
f4136,1251,2013,CLERMONT-FERRAND,"International Competition, Séance Scolaire"
f1029,1252,2013,BERLINALE,Berlinale Shorts
f4373,1253,2013,CLERMONT-FERRAND,Water Project
f1165,1254,2013,BERLINALE,Forum
f6278,1255,2013,IDFA,IDFA Competition for Feature-Length Documentary
f3042,1256,2013,TIFF,Special Presentation
f3145,1257,2013,TIFF,Contemporary World Cinema
f3279,1258,2013,TIFF,TIFF Kids
f5231,1259,2013,FRAMELINE,Dive In Deep—QWOCMAP Shorts
f1027,126,2013,BERLINALE,Berlinale Shorts
f1252,1260,2013,BERLINALE,Generation
f1234,1261,2013,BERLINALE,Generation
f3088,1262,2013,TIFF,Special Presentation
f3168,1263,2013,TIFF,Contemporary World Cinema
f6249,1264,2013,IDFA,IDFA Treasures - Restored Oscar® Films
f3071,1265,2013,TIFF,Special Presentation
f3351,1266,2013,TIFF,Vanguard
f4409,1267,2013,CLERMONT-FERRAND,Inde
f3272,1268,2013,TIFF,Wavelength
f1256,1269,2013,BERLINALE,Generation
f3022,127,2013,TIFF,Masters
f3254,1270,2013,TIFF,Wavelength
f4410,1271,2013,CLERMONT-FERRAND,Inde
f6250,1272,2013,IDFA,IDFA Competition for Kids & Docs
f6251,1273,2013,IDFA,IDFA Competition for Kids & Docs
f5212,1274,2013,FRAMELINE,Shorts: Worldly Women
f5213,1275,2013,FRAMELINE,Shorts: I Left My Ex in San Francisco
f6252,1276,2013,IDFA,IDFA Competition for Student Documentary; IDFA Focus: Green Screen
f3221,1277,2013,TIFF,TIFF Docs
f6253,1278,2013,IDFA,IDFA Competition for Kids & Docs; IDFA Junior
f1309,1279,2013,BERLINALE,Retrospective
f4068,128,2013,CLERMONT-FERRAND,International Competition
f1166,1280,2013,BERLINALE,Forum
f1063,1281,2013,BERLINALE,Berlinale Special
f1310,1282,2013,BERLINALE,Retrospective
f3101,1283,2013,TIFF,Special Presentation
f2064,1284,2013,CANNES,Cinéfondation
f6254,1285,2013,IDFA,IDFA Competition for Kids & Docs; IDFA Junior
f1064,1286,2013,BERLINALE,Berlinale Special
f6255,1287,2013,IDFA,IDFA Panorama
f1311,1288,2013,BERLINALE,Retrospective
f1253,1289,2013,BERLINALE,Generation
f4296,129,2013,CLERMONT-FERRAND,Enfants
f1254,1290,2013,BERLINALE,Generation
f6256,1291,2013,IDFA,IDFA Top 10
f1115,1292,2013,BERLINALE,Panorama
f3099,1293,2013,TIFF,Special Presentation
f5214,1294,2013,FRAMELINE,Shorts: Transtastic!
f3141,1295,2013,TIFF,Discovery
f1304,1296,2013,BERLINALE,Retrospective
f3328,1297,2013,TIFF,Future Projections
f1233,1298,2013,BERLINALE,Generation
f3021,1299,2013,TIFF,Masters
f17333,1299,2014,BERLINALE,Panorama
f2041,13,2013,CANNES,Out of Competition
f3357,130,2013,TIFF,Midnight Madness
f3249,1300,2013,TIFF,Wavelength
f4080,1301,2013,CLERMONT-FERRAND,International Competition
f1340,1302,2013,BERLINALE,"NATIVe - Indigenous Cinema"
f1341,1303,2013,BERLINALE,"NATIVe - Indigenous Cinema"
f5215,1304,2013,FRAMELINE,Documentaries
f6260,1305,2013,IDFA,IDFA Music Documentary
f6261,1306,2013,IDFA,IDFA Competition for Mid-Length Documentary
f6262,1307,2013,IDFA,IDFA Competition for Student Documentary
f1342,1308,2013,BERLINALE,"NATIVe - Indigenous Cinema"
f5217,1309,2013,FRAMELINE,"World Cinema, Queer Asian Cinema; First Feature Award"
f5002,131,2013,FRAMELINE,Shorts: Bi Candy
f6265,1311,2013,IDFA,IDFA Focus: Emerging Voices from Southeast Asia; IDFA Competition for Student Documentary; IDFA Focus: Green Screen
f6266,1312,2013,IDFA,IDFA Best of Fests
f3153,1313,2013,TIFF,Contemporary World Cinema
f5218,1314,2013,FRAMELINE,Shorts: Between Ring & Pendant
f3051,1315,2013,TIFF,Special Presentation
