film.id,unique.id,sample.year,fest,fest.sect,imdb.id,title.mixed,prod.year,length.min,length,prod.country.1.en,prod.country.2.en,prod.country.3.en,prod.country.4.en,prod.country.5.en,prod.country.6.en,prod.country.7.en,regions.mena,regions.africa,regions.asia,regions.na,regions.eu,regions.la,regions.ocean,director.1,director.2,director.3,director.4,director.5,director.6,director.7,director.8,director.9,director.10,director.11,director.12,director.13,director.14,director.15,director.16,director.17,director.18,director.19,director.20,director.21,director.22,director.23,director.24,director.25,director.26,animt,doc,exp,fict,lgbtq,imdb.fest,retro.fest.sect,competition,genre,fest.first,fest.sect.first,sample.year.first,fest.show.delay.3year.and.more
f1277,103,2013,BERLINALE,Retrospective,tt0026714,a midsummer night's dream,1935.0,117.0,41 min. or longer,United States,,,,,,,0,0,0,1,0,0,0,Max Reinhardt,William Dieterle,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,LGBT*Q films,1,1,0,other fiction,BERLINALE,Retrospective,2013,1.0
f3283,1030,2013,TIFF,Short Cuts Canada,tt3004842,subconscious password,2013.0,11.0,40 min. or shorter,Canada,,,,,,,0,0,0,1,0,0,0,Chris Landreth,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,0,other fiction,TIFF,Short Cuts Canada,2013,0.0
I1405638,1030,2014,CLERMONT-FERRAND,International,tt3004842,subconscious password,2013.0,11.0,40 min. or shorter,Canada,,,,,,,0,0,0,1,0,0,0,Chris Landreth,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,0,other fiction,TIFF,Short Cuts Canada,2013,0.0
f5206,1031,2013,FRAMELINE,World Cinema; First Feature Award,tt2447336,submerge,2012.0,97.0,41 min. or longer,Australia,,,,,,,0,0,0,0,0,0,1,Sophie O'Connor,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,LGBT*Q films,1,0,0,other fiction,FRAMELINE,World Cinema; First Feature Award,2013,0.0
f5208,1032,2013,FRAMELINE,Shorts: Bi Candy ; Shorts: Worldly Affairs,tt2599786,summer vacation,2012.0,22.0,40 min. or shorter,Israel,,,,,,,1,0,0,0,0,0,0,Tal Granit,Sharon Maymon,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,LGBT*Q films,1,0,0,other fiction,FRAMELINE,Shorts: Bi Candy ; Shorts: Worldly Affairs,2013,0.0
f6240,1033,2013,IDFA,IDFA Competition for Kids & Docs,tt2731546,sunflower seeds,2013.0,27.0,40 min. or shorter,Greece,,,,,,,0,0,0,0,1,0,0,Antonis Tolakis,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,other films,1,0,1,other documentary,IDFA,IDFA Competition for Kids & Docs,2013,0.0
f3108,1034,2013,TIFF,Special Presentation,tt3242834,sunshine on leith,2013.0,100.0,41 min. or longer,United Kingdom,,,,,,,0,0,0,0,1,0,0,Dexter Fletcher,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,0,0,0,other fiction,TIFF,Special Presentation,2013,0.0
f6241,1035,2013,IDFA,IDFA Panorama,,superjews,2013.0,66.0,41 min. or longer,Netherlands,,,,,,,0,0,0,0,1,0,0,Nirit Peled,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,other films,0,0,0,other documentary,IDFA,IDFA Panorama,2013,0.0
f6243,1038,2013,IDFA,IDFA Paradocs: Barbara Visser - The Making of Movies,tt0296881,symbiopsychotaxiplasm: take one,1968.0,75.0,41 min. or longer,United States,,,,,,,0,0,0,1,0,0,0,William Greaves,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,other films,1,0,0,other documentary,IDFA,IDFA Paradocs: Barbara Visser - The Making of Movies,2013,1.0
f1047,1039,2013,BERLINALE,Berlinale Shorts,tt2661940,tabato,2013.0,13.0,40 min. or shorter,Portugal,,,,,,,0,0,0,0,1,0,0,João Viana,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,other films,1,0,0,other documentary,BERLINALE,Berlinale Shorts,2013,0.0
f1326,104,2013,BERLINALE,NATIVe - Indigenous Cinema,tt2751502,a mother's dream,2007.0,7.0,40 min. or shorter,Canada,,,,,,,0,0,0,1,0,0,0,Cherilyn Papatie,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,other films,1,0,0,other documentary,BERLINALE,NATIVe - Indigenous Cinema,2013,1.0
