unique.id,imdb.id,title.mixed,prod.year,length.min,length,prod.country.1.en,prod.country.2.en,prod.country.3.en,prod.country.4.en,prod.country.5.en,prod.country.6.en,prod.country.7.en,regions.mena,regions.africa,regions.asia,regions.na,regions.eu,regions.la,regions.ocean,director.1,director.2,director.3,director.4,director.5,director.6,director.7,director.8,director.9,director.10,director.11,director.12,director.13,director.14,director.15,director.16,director.17,director.18,director.19,director.20,director.21,director.22,director.23,director.24,director.25,director.26,animt,doc,exp,fict,lgbtq,imdb.fest,retro.fest.sect,competition,genre,fest.first,fest.sect.first,sample.year.first,fest.show.delay.3year.and.more
1047,tt2407380,test,2013,89,41 min. or longer,United States,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,Chris Mason Johnson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,LGBT*Q films,1,0,0,other fiction,FRAMELINE,US Features,2013,0
1048,tt0058203,that man from rio,1963,112,41 min. or longer,France,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,Philippe de Broca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,1,0,0,other fiction,CANNES,Cinéma De La Plage,2013,1
1049,tt2635808,the 727 days without karamo,2013,80,41 min. or longer,Austria,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,Anja Salomonowitz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,LGBT*Q films,1,0,0,other documentary,BERLINALE,Forum,2013,0
105,tt2960994,a place in heaven,2013,118,41 min. or longer,Israel,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,Yossi Madmony,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,1,0,0,other fiction,TIFF,Contemporary World Cinema,2013,0
1050,tt2776652,the abominable crime,2013,66,41 min. or longer,United States,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,Micah Fink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,LGBT*Q films,1,0,0,other documentary,FRAMELINE,Documentaries,2013,0
1051,tt2375605,the act of killing,2012,117,41 min. or longer,United States,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,"Oppenheimer, Joshua","Synn, Christine",Anonymous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,1,0,0,other fiction,TIFF,special presentation: 2012,2012,0
1052,tt2190522,the altered lives of lavonne salleé,2012,12,40 min. or shorter,United States,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,Jazmin Jamias,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,LGBT*Q films,0,0,0,other documentary,FRAMELINE,Shorts: I Left My Ex in San Francisco,2013,0
1053,tt2414046,the amazing catfish,2013,89,41 min. or longer,Mexico,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,Claudia Sainte-Luce,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,1,0,0,other fiction,TIFF,Discovery,2013,0
1054,tt2713836,the amber amulet,2012,23,40 min. or shorter,Australia,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,Matthew Moore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,1,0,0,other fiction,BERLINALE,Generation,2013,0
1055,tt3064532,the animal project,2013,90,41 min. or longer,Canada,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,Ingrid Veninger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,1,0,0,other fiction,TIFF,Contemporary World Cinema,2013,0
1056,tt0071155,the apprenticeship of duddy kravit,1974,120,41 min. or longer,Canada,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,Ted Kotcheff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,1,1,0,other fiction,CANNES,Cannes Classics - Restored Prints,2013,1
1057,tt3803600,the art of observing life,2013,71,41 min. or longer,United States,Russia,NA,NA,NA,NA,NA,0,0,0,1,1,0,0,Marina Goldovskaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,other films,1,0,0,other documentary,IDFA,IDFA Masters,2013,0
1058,tt2172985,the art of the steal,2013,90,41 min. or longer,Canada,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,Jonathan Sobol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,1,0,0,other fiction,TIFF,Gala Presentation,2013,0
1059,tt0222782,the ballad of crowfoot,1968,10,40 min. or shorter,Canada,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,Willie Dunn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,other films,1,0,0,other documentary,BERLINALE,"NATIVe - Indigenous Cinema",2013,1
